Tarih,Gercek_Degerler,Model_Tahminleri
2023-12-08,78.12,78.359604
2023-12-09,78.65,77.68122
2023-12-10,78.28,80.855194
2023-12-11,79.27,78.60406
2023-12-12,79.77,77.813194
2023-12-13,79.77,78.36893
2023-12-14,79.77,77.173004
2023-12-15,84.93,79.55869
2023-12-16,84.94,79.865395
2023-12-17,84.99,78.38925
2023-12-18,85.12,77.188446
2023-12-19,85.12,75.35326
2023-12-20,85.12,78.558464
2023-12-21,85.12,78.81556
2023-12-22,84.18,75.79346
2023-12-23,85.61,77.98518
2023-12-24,87.33,75.79218
2023-12-25,86.09,76.82939
2023-12-26,86.31,72.77831
2023-12-27,86.31,76.406944
2023-12-28,86.31,75.6713
2023-12-29,84.76,77.87323
2023-12-30,84.77,75.85667
2023-12-31,83.12,76.08129
2024-01-01,81.1,75.92623
2024-01-02,81.659996,77.97423
2024-01-03,81.659996,76.044556
2024-01-04,81.659996,74.32964
2024-01-05,82.729996,78.18474
2024-01-06,80.77,76.39433
